"source_name","target_name","n_items"
"52-City","422-Space",3
"754-Disney","629-Miles From Tomorrowland",3
"207-Advent","209-Star Wars",15
"518-Mindstorms","520-RCX",16
"186-Castle","193-Fantasy Era",36
"186-Castle","197-Knights Kingdom I",21
"608-Disney","271-Prince of Persia",7
"34-Make & Create","35-Bricks & More",69
"22-Creator","672-Creator 3-in-1",255
"52-City","53-Airport",18
"497-Books","758-Non-fiction Books",146
"408-LEGO Brand Store","409-Monthly Mini Model Build",154
"695-Super Heroes DC","700-Justice League",18
"535-Collectible Minifigures","542-Series 7 Minifigures",19
"307-Aquazone","310-Aquaraiders II",11
"279-4 Juniors","280-Jack Stone",29
"324-Bionicle","360-Protectors",6
"504-Duplo","663-Rattles",23
"535-Collectible Minifigures","550-The Simpsons Series 1",19
"608-Disney","263-Pirates of the Caribbean",20
"591-Juniors","620-Jurassic World: Fallen Kingdom",3
"535-Collectible Minifigures","684-DC Super Heroes",20
"186-Castle","187-Black Falcons",7
"307-Aquazone","312-Hydronauts",7
"126-Space","141-Space Police III",21
"52-City","60-Hospital",9
"52-City","54-Cargo",9
"186-Castle","203-Wolfpack",3
"591-Juniors","596-Marvel Super Heroes",4
"535-Collectible Minifigures","544-Series 9 Minifigures",19
"458-Sports","459-Basketball",35
"632-Town","636-My Town",11
"754-Disney","640-Disney Princess",19
"529-Technic","531-eLAB",5
"754-Disney","627-Planes",4
"754-Disney","648-Doc McStuffins",4
"507-Educational and Dacta","524-Service Packs",369
"507-Educational and Dacta","518-Mindstorms",90
"695-Super Heroes DC","697-Batman",174
"206-Seasonal","227-Christmas",199
"696-Super Heroes Marvel","706-Spider-Man",108
"233-Train","236-9V",106
"52-City","56-Construction",88
"1-Technic","4-Expert Builder",48
"22-Creator","673-Creator Expert",67
"535-Collectible Minifigures","552-Series 14 Minifigures",19
"501-Gear","734-Magnets",124
"1-Technic","21-Universal Building Set",23
"307-Aquazone","308-Aquanauts",8
"535-Collectible Minifigures","555-Disney Series 1",21
"112-Racers","123-World Racers",10
"535-Collectible Minifigures","554-Series 15 Minifigures",19
"147-Pirates","148-Pirates I",82
"535-Collectible Minifigures","618-The LEGO Ninjago Movie",23
"52-City","59-Harbor",22
"408-LEGO Brand Store","619-Cities of Wonders",18
"504-Duplo","651-Pirates",4
"50-Town","106-City Center",22
"504-Duplo","631-Thomas & Friends",18
"696-Super Heroes Marvel","705-Iron Man",8
"504-Duplo","659-Dolls",6
"504-Duplo","661-Little Robots",16
"504-Duplo","665-Western",10
"126-Space","130-Classic Space",105
"535-Collectible Minifigures","546-Team GB",12
"233-Train","235-4.5V",92
"186-Castle","189-Classic Castle",8
"535-Collectible Minifigures","611-Series 17 Minifigures",19
"535-Collectible Minifigures","677-Disney Series 2",21
"52-City","744-Stuntz",28
"535-Collectible Minifigures","681-Series 19 Minifigures",20
"126-Space","131-Exploriens",9
"186-Castle","201-Royal Knights",9
"52-City","414-Castle",1
"324-Bionicle","341-Playsets",19
"507-Educational and Dacta","509-SPIKE",33
"504-Duplo","662-Princess Castle",7
"458-Sports","461-Hockey",18
"535-Collectible Minifigures","547-Series 11 Minifigures",19
"504-Duplo","664-Toolo",13
"535-Collectible Minifigures","545-Series 10 Minifigures",21
"529-Technic","530-Control Lab",10
"697-Batman","698-UCS",7
"706-Spider-Man","755-Spidey and His Amazing Friends",10
"207-Advent","212-Classic Basic",1
"207-Advent","710-Harry Potter",6
"535-Collectible Minifigures","538-Series 3 Minifigures",19
"1-Technic","18-Star Wars",11
"296-Adventurers","300-Orient Expedition",28
"186-Castle","195-Fright Knights",17
"52-City","413-Building",25
"186-Castle","199-Lion Knights",27
"535-Collectible Minifigures","541-Series 6 Minifigures",19
"535-Collectible Minifigures","553-The Simpsons Series 2",19
"52-City","56-Construction",42
"206-Seasonal","229-Easter",50
"126-Space","133-Ice Planet 2002",11
"186-Castle","190-Dragon Knights",14
"535-Collectible Minifigures","622-Series 18 Minifigures",20
"497-Books","761-Activity Books with LEGO Parts",370
"50-Town","52-City",47
"365-System","371-Supplemental",531
"365-System","372-Town Plan",57
"22-Creator","674-Early Creator",37
"126-Space","142-Spyrius",12
"52-City","60-Hospital",24
"535-Collectible Minifigures","725-Series 23 Minifigures",16
"50-Town","88-Launch Command",6
"273-Studios","274-Jurassic Park III",2
"535-Collectible Minifigures","750-Marvel Series 2",17
"233-Train","241-Supplemental",1
"504-Duplo","628-Dora the Explorer",5
"52-City","415-Coast Guard",1
"458-Sports","460-Gravity Games",11
"365-System","756-Samsonite",149
"50-Town","104-Town Plan",1
"227-Christmas","228-Creator",36
"754-Disney","633-Toy Story",6
"207-Advent","213-Clikits",2
"52-City","58-Fire",120
"52-City","61-Police",200
"22-Creator","478-X-Pod",26
"233-Train","234-12V",65
"126-Space","139-Space Police I",6
"465-Universal Building Set","467-Basic",204
"501-Gear","740-Storage",166
"52-City","53-Airport",40
"465-Universal Building Set","470-Classic Basic",53
"186-Castle","188-Black Knights",16
"497-Books","760-Activity Books",211
"535-Collectible Minifigures","556-Series 16 Minifigures",19
"1-Technic","3-Competition",18
"501-Gear","736-Posters and Art Prints",85
"1-Technic","19-Supplemental",17
"507-Educational and Dacta","517-Learning",9
"535-Collectible Minifigures","539-Series 4 Minifigures",19
"147-Pirates","153-Pirates II",18
"307-Aquazone","311-Aquasharks",5
"304-Alpha Team","305-Mission Deep Sea",17
"52-City","614-Jungle",10
"435-Ninjago","616-The LEGO Ninjago Movie",35
"52-City","65-Arctic",25
"578-The LEGO Movie","670-The LEGO Movie II",42
"438-Power Functions","655-Powered Up",15
"501-Gear","742-Video Games and Accessories",289
"126-Space","138-RoboForce",4
"535-Collectible Minifigures","540-Series 5 Minifigures",19
"507-Educational and Dacta","528-Supplemental",30
"52-City","679-Mars Exploration",16
"535-Collectible Minifigures","691-Harry Potter and Fantastic Beasts Series 2",19
"504-Duplo","505-Basic Set",388
"1-Technic","16-RoboRiders",29
"535-Collectible Minifigures","551-Series 13 Minifigures",19
"535-Collectible Minifigures","743-Series 24 Minifigures",16
"126-Space","146-Galaxy Squad",12
"696-Super Heroes Marvel","707-X-Men",8
"50-Town","86-Divers",12
"591-Juniors","592-DC Comics Super Heroes",5
"504-Duplo","657-Action Wheelers",9
"307-Aquazone","309-Aquaraiders I",3
"301-Other","746-Database Sets",122
"504-Duplo","639-Sofia the First",3
"207-Advent","214-Creator",4
"207-Advent","751-Marvel",4
"504-Duplo","632-Town",467
"504-Duplo","754-Disney",100
"535-Collectible Minifigures","548-Series 12 Minifigures",19
"695-Super Heroes DC","701-Superman",14
"52-City","423-Vehicle",31
"1-Technic","20-Throwbot Slizer",17
"126-Space","135-Life On Mars",30
"296-Adventurers","297-Desert",26
"52-City","55-Coast Guard",28
"52-City","59-Harbor",3
"400-Hero Factory","401-Heroes",45
"507-Educational and Dacta","510-Serious Play",23
"561-The Hobbit and Lord of the Rings","566-The Lord of the Rings",21
"296-Adventurers","299-Jungle",10
"400-Hero Factory","403-Villains",36
"52-City","63-Traffic",62
"52-City","64-Off-Road",11
"501-Gear","739-Stationery and Office Supplies",357
"591-Juniors","615-Cars",8
"246-Harry Potter","667-Fantastic Beasts",2
"501-Gear","735-Plush Toys",99
"504-Duplo","634-Trains",73
"598-Promotional","471-Ferries",17
"52-City","66-Trains",37
"296-Adventurers","298-Dino Island",19
"126-Space","145-Unitron",4
"501-Gear","738-Seasonal",65
"126-Space","134-Insectoids",19
"52-City","424-Western",4
"50-Town","51-Arctic",11
"591-Juniors","597-Ninjago",4
"365-System","369-Jumbo Bricks",7
"696-Super Heroes Marvel","702-Avengers",122
"535-Collectible Minifigures","720-The Muppets",16
"365-System","368-HO 1:87 Vehicles",215
"279-4 Juniors","287-Spider-Man",3
"258-Mindstorms","259-NXT",44
"22-Creator","406-Inventor",4
"754-Disney","506-Cars",21
"754-Disney","635-Winnie the Pooh",18
"207-Advent","211-Castle",2
"754-Disney","641-Mickey & Friends",18
