"n_items","source_name","target_name"
3,Disney,Miles From Tomorrowland
16,Duplo,Castle
73,Duplo,Trains
7,Duplo,Princess Castle
467,Duplo,Town
60,Duplo,Playhouse
9,Duplo,Marvel
9,Duplo,DC Comics
5,Duplo,Jurassic World
100,Duplo,Disney
5,Duplo,Dora the Explorer
6,Duplo,Dolls
13,Duplo,Toolo
31,Duplo,Bob the Builder
16,Duplo,Little Robots
16,Duplo,Dino
3,Duplo,Sofia the First
3,Duplo,Zooters
23,Duplo,Rattles
10,Duplo,Little Forest Friends
9,Duplo,Action Wheelers
4,Duplo,Pirates
388,Duplo,Basic Set
18,Duplo,Thomas & Friends
10,Duplo,Western
90,Educational and Dacta,Mindstorms
298,Educational and Dacta,Duplo and Explore
2,Educational and Dacta,Building Set with People
36,Educational and Dacta,Town
73,Educational and Dacta,Technic
30,Educational and Dacta,Supplemental
9,Educational and Dacta,Learning
6,Educational and Dacta,Soft Bricks
369,Educational and Dacta,Service Packs
33,Educational and Dacta,SPIKE
23,Educational and Dacta,Serious Play
21,Educational and Dacta,Universal Building Set
2,Educational and Dacta,Samsonite
85,Gear,Posters and Art Prints
99,Gear,Plush Toys
357,Gear,Stationery and Office Supplies
75,Gear,Audio and Visual Media
223,Gear,Role Play Toys and Costumes
289,Gear,Video Games and Accessories
65,Gear,Seasonal
124,Gear,Magnets
166,Gear,Storage
41,Gear,Tabletop Games and Puzzles
214,Gear,Clocks and Watches
327,Gear,Houseware
707,Gear,Key Chain
100,Gear,Bag and Luggage Tags
2,Harry Potter,Fantastic Beasts
45,Hero Factory,Heroes
36,Hero Factory,Villains
8,Juniors,Cars
5,Juniors,DC Comics Super Heroes
4,Juniors,Ninjago
4,Juniors,Marvel Super Heroes
5,Juniors,Disney Princess
8,Juniors,Friends
3,Juniors,Jurassic World: Fallen Kingdom
154,LEGO Brand Store,Monthly Mini Model Build
32,LEGO Brand Store,Pick A Model
18,LEGO Brand Store,Cities of Wonders
31,Legends of Chima,Speedorz
16,Legends of Chima,Constraction
18,Legoland,Airport
1,Legoland,Castle
25,Legoland,Building
14,Legoland,Fire
4,Legoland,Western
3,Legoland,Space
1,Legoland,Coast Guard
31,Legoland,Vehicle
11,Legoland,Police
42,Legoland,Construction
9,Legoland,Hospital
3,Legoland,Harbor
6,Legoland,Gas Station
69,Make & Create,Bricks & More
40,Mindstorms,WeDo
38,Mindstorms,RCX
53,Mindstorms,NXT
3,Mindstorms,Star Wars
14,Mindstorms,EV3
1,Modular Buildings,Mini
35,Ninjago,The LEGO Ninjago Movie
122,Other,Database Sets
18,Pirates,Pirates II
82,Pirates,Pirates I
10,Pirates,Pirates III
15,Power Functions,Powered Up
17,Promotional,Ferries
17,Promotional,Airlines
38,Promotional,Bricktober
19,Promotional,McDonalds
10,Racers,World Racers
25,Racers,RC
21,Racers,Promotional
37,Racers,Ferrari
7,Sculptures,Mosaic
199,Seasonal,Christmas
31,Seasonal,Halloween
50,Seasonal,Easter
8,Seasonal,Thanksgiving
21,Seasonal,Valentine
75,Seasonal,Advent
76,Service Packs,Train
434,Service Packs,Technic
11,Space,M:Tron
21,Space,Mars Mission
9,Space,Exploriens
30,Space,Life On Mars
4,Space,Unitron
21,Space,Space Police III
9,Space,Blacktron I
10,Space,Space Police II
19,Space,Insectoids
16,Space,Supplemental
28,Space,Blacktron II
12,Space,Galaxy Squad
12,Space,Spyrius
19,Space,UFO
6,Space,Space Police I
105,Space,Classic Space
20,Space,Futuron
11,Space,Ice Planet 2002
10,Space,Alien Conquest
4,Space,RoboForce
10,Spider-Man,Spidey and His Amazing Friends
11,Sports,Gravity Games
35,Sports,Basketball
109,Sports,Soccer
18,Sports,Hockey
51,Star Wars,Ultimate Collector Series
2,Studios,Jurassic Park III
174,Super Heroes DC,Batman
18,Super Heroes DC,Justice League
14,Super Heroes DC,Superman
8,Super Heroes Marvel,Iron Man
108,Super Heroes Marvel,Spider-Man
15,Super Heroes Marvel,Guardians of the Galaxy
122,Super Heroes Marvel,Avengers
8,Super Heroes Marvel,X-Men
531,System,Supplemental
57,System,Town Plan
7,System,Jumbo Bricks
149,System,Samsonite
215,System,HO 1:87 Vehicles
5,Technic,eLAB
18,Technic,Competition
29,Technic,RoboRiders
17,Technic,Supplemental
23,Technic,Universal Building Set
5,Technic,Speed Slammers
48,Technic,Expert Builder
11,Technic,Star Wars
17,Technic,Throwbot Slizer
10,Technic,Control Lab
21,The Hobbit and Lord of the Rings,The Lord of the Rings
25,The Hobbit and Lord of the Rings,The Hobbit
42,The LEGO Movie,The LEGO Movie II
1,Town,Town Plan
47,Town,World City
86,Town,Legoville
13,Town,Res-Q
12,Town,Divers
22,Town,City Center
6,Town,Launch Command
22,Town,Space Port
40,Town,Town Jr.
11,Town,Arctic
16,Town,Race
5,Town,Outback
11,Town,My Town
21,Town,Extreme Team
21,Town,Paradisa
451,Town,Classic Town
106,Train,"9V"
92,Train,"4.5V"
65,Train,"12V"
1,Train,Supplemental
11,Universal Building Set,Gears
204,Universal Building Set,Basic
96,Universal Building Set,Supplemental
53,Universal Building Set,Classic Basic
