"type","year","n_items","bigger_item","item_id","item_num","item_name","item_theme_id","item_theme_name","item_img_url","max_color_qtty","item_part_color_id","item_part_color_name","item_part_rgb","item_part_color_group_id","item_part_color_group","item_part_group_rgb","item_part_color_is_trans"
kit,2015,72,10004,30510,BIGBOX-1,The Ultimate Battle for Chima,571,Legends of Chima,https://cdn.rebrickable.com/media/sets/bigbox-1.jpg,1619,0,Black,"05131D",2,Black,"05131D",false
set,2015,199,1264,14317,"70738-1",Final Flight of Destiny's Bounty,435,Ninjago,https://cdn.rebrickable.com/media/sets/70738-1.jpg,271,0,Black,"05131D",2,Black,"05131D",false
kit,2014,81,3841,136070,"5004243-1",Classic Collection,158,Star Wars,https://cdn.rebrickable.com/media/sets/5004243-1.jpg,1307,71,Light Bluish Gray,A0A5A9,1,Gray,"6C6E68",false
set,2014,194,1412,6508,"45570-1",Space Challenge Set,518,Mindstorms,https://cdn.rebrickable.com/media/sets/45570-1.jpg,882,0,Black,"05131D",2,Black,"05131D",false
kit,2013,32,1637,144944,"5004122-1",Jr.FLL Base Kit,398,FIRST LEGO League,https://cdn.rebrickable.com/media/sets/5004122-1.jpg,322,14,Yellow,F2CD37,6,Yellow,F2CD37,false
set,2013,127,1351,1770,"10233-1",Horizon Express,673,Creator Expert,https://cdn.rebrickable.com/media/sets/10233-1.jpg,673,0,Black,"05131D",2,Black,"05131D",false
kit,2012,44,3508,16180,"5001132-1",The Lord of the Rings Collection,566,The Lord of the Rings,https://cdn.rebrickable.com/media/sets/5001132-1.jpg,1935,71,Light Bluish Gray,A0A5A9,1,Gray,"6C6E68",false
set,2012,144,1907,15743,"9389-1",Community Starter Set,507,Educational and Dacta,https://cdn.rebrickable.com/media/sets/9389-1.jpg,241,4,Red,C91A09,4,Red,C91A09,false
kit,2011,34,2623,135961,"5003468-1",Playtable Creative Center Bundle,507,Educational and Dacta,https://cdn.rebrickable.com/media/sets/5003468-1.jpg,494,4,Red,C91A09,4,Red,C91A09,false
set,2011,116,1356,2109,"9594-1",Green City Challenge Set,518,Mindstorms,https://cdn.rebrickable.com/media/sets/9594-1.jpg,472,71,Light Bluish Gray,A0A5A9,1,Gray,"6C6E68",false
kit,2010,25,1236,9406,"66405-1",City Super Pack 4 in 1,66,Trains,https://cdn.rebrickable.com/media/sets/66405-1.jpg,446,72,Dark Bluish Gray,"6C6E68",1,Gray,"6C6E68",false
set,2010,70,1231,38,"9385-1",Sceneries Set,507,Educational and Dacta,https://cdn.rebrickable.com/media/sets/9385-1.jpg,350,15,White,FFFFFF,3,White,FFFFFF,false
kit,2009,38,2022,9426,"2853301-1",CITY Transport Collection,63,Traffic,https://cdn.rebrickable.com/media/sets/2853301-1.jpg,517,0,Black,"05131D",2,Black,"05131D",false
set,2009,77,1089,13854,"10194-1",Emerald Night,673,Creator Expert,https://cdn.rebrickable.com/media/sets/10194-1.jpg,482,0,Black,"05131D",2,Black,"05131D",false
kit,2008,43,2404,71,K7690-1,Mars Mission Collection,137,Mars Mission,https://cdn.rebrickable.com/media/sets/k7690-1.jpg,678,0,Black,"05131D",2,Black,"05131D",false
set,2008,79,958,1198,"7744-1",Police Headquarters,61,Police,https://cdn.rebrickable.com/media/sets/7744-1.jpg,936,15,White,FFFFFF,3,White,FFFFFF,false
set,2008,79,958,179502,"7744-1",Police Headquarters,61,Police,https://cdn.rebrickable.com/media/sets/7744-1.jpg,936,15,White,FFFFFF,3,White,FFFFFF,false
kit,2007,57,3039,5114,K7699-1,Complete Mars Mission Collection,137,Mars Mission,https://cdn.rebrickable.com/media/sets/k7699-1.jpg,818,0,Black,"05131D",2,Black,"05131D",false
set,2007,111,1009,94,"8108-1",Mobile Devastator,389,Exo-Force,https://cdn.rebrickable.com/media/sets/8108-1.jpg,290,0,Black,"05131D",2,Black,"05131D",false
kit,2006,47,1205,166074,"66152-1",Value Pack,301,Other,https://cdn.rebrickable.com/media/sets/66152-1.jpg,267,15,White,FFFFFF,3,White,FFFFFF,false
set,2006,77,969,3824,"10173-1",Holiday Train,673,Creator Expert,https://cdn.rebrickable.com/media/sets/10173-1.jpg,379,0,Black,"05131D",2,Black,"05131D",false
kit,2005,47,1500,4721,"4679-2",Bricks and Creations Tub - (TRU Exclusive),34,Make & Create,https://cdn.rebrickable.com/media/sets/4679-2.jpg,200,1,Blue,"0055BF",5,Blue,"0055BF",false
set,2005,82,1000,5579,"4679a-2",Bricks and Creations Tub - (TRU Exclusive) (Bottom Tub and its contents only),34,Make & Create,https://cdn.rebrickable.com/media/sets/4679a-2.jpg,184,4,Red,C91A09,4,Red,C91A09,false
kit,2004,50,2246,2488,K10131-1,Battle of Yavin Collection,158,Star Wars,https://cdn.rebrickable.com/media/sets/k10131-1.jpg,406,71,Light Bluish Gray,A0A5A9,1,Gray,"6C6E68",false
set,2004,84,1000,11069,"4679a-1",Bricks and Creations Tub (Bottom Tub and its contents only),34,Make & Create,https://cdn.rebrickable.com/media/sets/4679a-1.jpg,184,4,Red,C91A09,4,Red,C91A09,false
kit,2003,74,2453,13450,K7471-1,Discovery Space Kit,387,Discovery,https://cdn.rebrickable.com/media/sets/k7471-1.jpg,684,7,Light Gray,"9BA19D",1,Gray,"6C6E68",false
set,2003,118,865,13903,"7471-1",Mars Exploration Rover,387,Discovery,https://cdn.rebrickable.com/media/sets/7471-1.jpg,810,7,Light Gray,"9BA19D",1,Gray,"6C6E68",false
kit,2002,39,2755,13083,K10022-1,Santa Fe Train Kit,236,"9V",https://cdn.rebrickable.com/media/sets/k10022-1.jpg,1135,7,Light Gray,"9BA19D",1,Gray,"6C6E68",false
set,2002,114,697,14069,"7163-1",Republic Gunship,158,Star Wars,https://cdn.rebrickable.com/media/sets/7163-1.jpg,179,15,White,FFFFFF,3,White,FFFFFF,false
kit,2001,49,1443,8226,K6290-1,Classic Pirates Kit,148,Pirates I,https://cdn.rebrickable.com/media/sets/k6290-1.jpg,546,0,Black,"05131D",2,Black,"05131D",false
set,2001,105,787,11090,"10001-1",Metroliner,233,Train,https://cdn.rebrickable.com/media/sets/10001-1.jpg,316,0,Black,"05131D",2,Black,"05131D",false
set,2001,105,787,46115,"10001-1",Metroliner,233,Train,https://cdn.rebrickable.com/media/sets/10001-1.jpg,316,0,Black,"05131D",2,Black,"05131D",false
kit,2000,36,1021,12759,VP-4,Star Wars Co-Pack,158,Star Wars,https://cdn.rebrickable.com/media/sets/vp-4.jpg,223,7,Light Gray,"9BA19D",1,Gray,"6C6E68",false
set,2000,78,671,15340,"7190-1",Millennium Falcon,158,Star Wars,https://cdn.rebrickable.com/media/sets/7190-1.jpg,136,8,Dark Gray,"6D6E5C",1,Gray,"6C6E68",false
kit,1999,11,486,35734,"4127417-1",Super Value Pack,559,Value Packs,https://cdn.rebrickable.com/media/sets/4127417-1.jpg,204,1,Blue,"0055BF",5,Blue,"0055BF",false
set,1999,56,907,15240,"7171-1",Mos Espa Podrace,158,Star Wars,https://cdn.rebrickable.com/media/sets/7171-1.jpg,207,7,Light Gray,"9BA19D",1,Gray,"6C6E68",false
kit,1998,18,871,1203,"9377-1",Adventurers Set,507,Educational and Dacta,https://cdn.rebrickable.com/media/sets/9377-1.jpg,168,0,Black,"05131D",2,Black,"05131D",false
set,1998,37,720,1321,"5988-1",Pharaoh's Forbidden Ruins,297,Desert,https://cdn.rebrickable.com/media/sets/5988-1.jpg,140,7,Light Gray,"9BA19D",1,Gray,"6C6E68",false
kit,1997,8,320,4643,VP-7,Fire Value Pack,94,Town Jr.,https://cdn.rebrickable.com/media/sets/vp-7.jpg,60,15,White,FFFFFF,3,White,FFFFFF,false
kit,1996,5,271,758,WWGP-1,Wild West Limited Edition Gift Pack,475,Western,https://cdn.rebrickable.com/media/sets/wwgp-1.jpg,129,0,Black,"05131D",2,Black,"05131D",false
set,1996,11,178,9825,"6755-1",Sheriff's Lock-Up,475,Western,https://cdn.rebrickable.com/media/sets/6755-1.jpg,53,0,Black,"05131D",2,Black,"05131D",false
kit,1995,4,423,33995,"9070-1",Super Value Pack,516,Duplo and Explore,https://cdn.rebrickable.com/media/sets/9070-1.jpg,165,4,Red,C91A09,4,Red,C91A09,false
set,1995,11,182,1471,"6336-1",Launch Response Unit,88,Launch Command,https://cdn.rebrickable.com/media/sets/6336-1.jpg,77,15,White,FFFFFF,3,White,FFFFFF,false
kit,1994,9,996,8334,"9646-1",Wheel and Axle Classroom Pack,529,Technic,https://cdn.rebrickable.com/media/sets/9646-1.jpg,288,7,Light Gray,"9BA19D",1,Gray,"6C6E68",false
set,1994,15,81,14676,"1742-1",Van,67,Classic Town,https://cdn.rebrickable.com/media/sets/1742-1.jpg,33,4,Red,C91A09,4,Red,C91A09,false
kit,1993,4,391,7743,"4741-1",Blacktron Super Vehicle (Value 3-Pack),129,Blacktron II,https://cdn.rebrickable.com/media/sets/4741-1.jpg,454,0,Black,"05131D",2,Black,"05131D",false
set,1993,19,178,15147,"6861-2",Super Model Building Instruction,129,Blacktron II,https://cdn.rebrickable.com/media/sets/6861-2.jpg,102,0,Black,"05131D",2,Black,"05131D",false
set,1993,19,178,38839,"6861-2",Super Model Building Instruction,129,Blacktron II,https://cdn.rebrickable.com/media/sets/6861-2.jpg,102,0,Black,"05131D",2,Black,"05131D",false
kit,1992,7,320,5093,"6271-2",Imperial Flagship with Free Storage Case,148,Pirates I,https://cdn.rebrickable.com/media/sets/6271-2.jpg,187,0,Black,"05131D",2,Black,"05131D",false
set,1992,7,320,10085,"6271-1",Imperial Flagship,148,Pirates I,https://cdn.rebrickable.com/media/sets/6271-1.jpg,187,0,Black,"05131D",2,Black,"05131D",false
kit,1991,2,260,10227,"821264-1",High Speed Adventure Team Collection,67,Classic Town,https://cdn.rebrickable.com/media/sets/821264-1.jpg,90,0,Black,"05131D",2,Black,"05131D",false
set,1991,17,129,25968,"9055-1",Basic Set - Animals,516,Duplo and Explore,https://cdn.rebrickable.com/media/sets/9055-1.jpg,30,4,Red,C91A09,4,Red,C91A09,false
kit,1990,2,165,10993,"1675-1",LEGOLAND Triple Pack,559,Value Packs,https://cdn.rebrickable.com/media/sets/1675-1.jpg,57,0,Black,"05131D",2,Black,"05131D",false
set,1990,6,96,16020,"1621-1",Lunar MPV Vehicle,132,Futuron,https://cdn.rebrickable.com/media/sets/1621-1.jpg,37,15,White,FFFFFF,3,White,FFFFFF,false
kit,1989,4,161,4394,"1974-1",Legoland Triple Pack,559,Value Packs,https://cdn.rebrickable.com/media/sets/1974-1.jpg,46,0,Black,"05131D",2,Black,"05131D",false
set,1989,11,82,14939,"1518-1",Race Car Repair,67,Classic Town,https://cdn.rebrickable.com/media/sets/1518-1.jpg,27,15,White,FFFFFF,3,White,FFFFFF,false
kit,1988,2,477,2114,"951-2",Lego TC logo Starter Pack,529,Technic,https://cdn.rebrickable.com/media/sets/951-2.jpg,156,0,Black,"05131D",2,Black,"05131D",false
set,1988,4,92,170390,"9056-1",Extra Duplo Bricks,516,Duplo and Explore,https://cdn.rebrickable.com/media/sets/9056-1.jpg,23,1,Blue,"0055BF",5,Blue,"0055BF",false
kit,1987,3,174,16131,"1509-1",Town Value Pack,67,Classic Town,https://cdn.rebrickable.com/media/sets/1509-1.jpg,49,0,Black,"05131D",2,Black,"05131D",false
set,1987,8,472,3579,"9700-1",Technic Control Center,529,Technic,https://cdn.rebrickable.com/media/sets/9700-1.jpg,154,0,Black,"05131D",2,Black,"05131D",false
kit,1986,4,109,3755,"1506-1",Town Value Pack,67,Classic Town,https://cdn.rebrickable.com/media/sets/1506-1.jpg,44,0,Black,"05131D",2,Black,"05131D",false
set,1986,8,114,12641,"6041-1",Armor Shop,199,Lion Knights,https://cdn.rebrickable.com/media/sets/6041-1.jpg,52,7,Light Gray,"9BA19D",1,Gray,"6C6E68",false
kit,1985,6,156,14493,"1967-2",Town Value Pack,67,Classic Town,https://cdn.rebrickable.com/media/sets/1967-2.jpg,41,0,Black,"05131D",2,Black,"05131D",false
set,1985,9,54,12086,"6656-1",Tow Truck,67,Classic Town,https://cdn.rebrickable.com/media/sets/6656-1.jpg,24,1,Blue,"0055BF",5,Blue,"0055BF",false
set,1985,9,54,5472,"6848-2",Interplanetary Shuttle,130,Classic Space,https://cdn.rebrickable.com/media/sets/6848-2.jpg,29,7,Light Gray,"9BA19D",1,Gray,"6C6E68",false
kit,1984,4,98,13427,"1976-1",Town 3-Pack,67,Classic Town,https://cdn.rebrickable.com/media/sets/1976-1.jpg,27,15,White,FFFFFF,3,White,FFFFFF,false
kit,1984,4,98,8950,"1979-2",Town Value Pack,67,Classic Town,https://cdn.rebrickable.com/media/sets/1979-2.jpg,31,4,Red,C91A09,4,Red,C91A09,false
set,1984,7,48,2209,"6824-1",Space Dart I,130,Classic Space,https://cdn.rebrickable.com/media/sets/6824-1.jpg,22,7,Light Gray,"9BA19D",1,Gray,"6C6E68",false
kit,1983,3,101,1371,"1978-2",Town Value Pack,67,Classic Town,https://cdn.rebrickable.com/media/sets/1978-2.jpg,30,0,Black,"05131D",2,Black,"05131D",false
set,1983,4,41,8417,"6624-1",Delivery Van,67,Classic Town,https://cdn.rebrickable.com/media/sets/6624-1.jpg,17,4,Red,C91A09,4,Red,C91A09,false
set,1982,1,56,3508,"6653-1",Highway Emergency Van,67,Classic Town,https://cdn.rebrickable.com/media/sets/6653-1.jpg,15,15,White,FFFFFF,3,White,FFFFFF,false
kit,1981,1,598,8918,K1062-1,Road Safety Kit,533,Town,https://cdn.rebrickable.com/media/sets/k1062-1.jpg,169,15,White,FFFFFF,3,White,FFFFFF,false
set,1981,8,419,8812,"1064-1",Dacta Buildings,533,Town,https://cdn.rebrickable.com/media/sets/1064-1.jpg,137,15,White,FFFFFF,3,White,FFFFFF,false
set,1980,1,179,13301,"1062-1",Town Vehicles,533,Town,https://cdn.rebrickable.com/media/sets/1062-1.jpg,45,0,Black,"05131D",2,Black,"05131D",false
