"year","theme_id","theme_name","relative","parent_theme_id","parent_theme_name"
2006,697,Batman,son,695,Super Heroes DC
2017,708,The LEGO Batman Movie,son,697,Batman
2021,712,Series 21 Minifigures,son,535,Collectible Minifigures
2004,737,Role Play Toys and Costumes,son,501,Gear
1999,739,Stationery and Office Supplies,son,501,Gear
2006,66,Trains,son,52,City
2011,127,Alien Conquest,son,126,Space
1994,142,Spyrius,son,126,Space
2011,209,Star Wars,son,207,Advent
2012,216,Friends,son,207,Advent
1964,369,Jumbo Bricks,son,365,System
2005,631,Thomas & Friends,son,504,Duplo
2014,653,DC Comics,son,504,Duplo
1999,660,Little Forest Friends,son,504,Duplo
2009,215,Pirates,son,207,Advent
1997,658,Dino,son,504,Duplo
2015,630,Marvel,son,504,Duplo
2003,460,Gravity Games,son,458,Sports
2007,55,Coast Guard,son,52,City
2002,118,Promotional,son,112,Racers
1998,122,RC,son,112,Racers
1998,134,Insectoids,son,126,Space
1991,236,"9V",son,233,Train
2001,280,Jack Stone,son,279,"4 Juniors"
2000,298,Dino Island,son,296,Adventurers
2007,310,Aquaraiders II,son,307,Aquazone
1998,312,Hydronauts,son,307,Aquazone
1998,313,Stingrays,son,307,Aquazone
2010,401,Heroes,son,400,Hero Factory
1985,467,Basic,son,465,Universal Building Set
2019,509,SPIKE,son,507,Educational and Dacta
1998,518,Mindstorms,father,507,Educational and Dacta
2014,596,Marvel Super Heroes,son,591,Juniors
2017,615,Cars,son,591,Juniors
2018,670,The LEGO Movie II,son,578,The LEGO Movie
2014,700,Justice League,son,695,Super Heroes DC
1982,21,Universal Building Set,son,1,Technic
2010,123,World Racers,son,112,Racers
1993,133,Ice Planet 2002,son,126,Space
1989,148,Pirates I,son,147,Pirates
2002,305,Mission Deep Sea,son,304,Alpha Team
1970,414,Castle,son,411,Legoland
2016,555,Disney Series 1,son,535,Collectible Minifigures
2021,744,Stuntz,son,52,City
2023,750,Marvel Series 2,son,535,Collectible Minifigures
2010,759,Story Books,son,497,Books
1998,3,Competition,son,1,Technic
2005,58,Fire,son,52,City
1995,201,Royal Knights,son,186,Castle
1995,311,Aquasharks,son,307,Aquazone
1970,420,Hospital,son,411,Legoland
1983,529,Technic,son,507,Educational and Dacta
2017,614,Jungle,son,52,City
2010,633,Toy Story,son,754,Disney
1966,740,Storage,son,501,Gear
1955,757,Ideas Books,son,497,Books
2009,761,Activity Books with LEGO Parts,son,497,Books
1978,67,Classic Town,son,50,Town
2000,91,Race,son,50,Town
2001,626,Bob the Builder,son,504,Duplo
1983,634,Trains,son,504,Duplo
2021,751,Marvel,son,207,Advent
1998,87,Extreme Team,son,50,Town
1997,89,Outback,son,50,Town
1997,94,Town Jr.,son,50,Town
2003,105,World City,son,50,Town
2007,210,Belville,son,207,Advent
2006,651,Pirates,son,504,Duplo
1998,665,Western,son,504,Duplo
2013,705,Iron Man,son,696,Super Heroes Marvel
