"id","year","n_items","num_parts","set_num","name","set_img_url","first_theme_id","second_theme_id","third_theme_id","first_theme_name","second_theme_name","third_theme_name","agg_type","color_id","color_name","color_rgb","n_color_parts"
6409,2007,506,5198,"10179-1",Millennium Falcon,https://cdn.rebrickable.com/media/sets/10179-1.jpg,158,171,,Star Wars,Ultimate Collector Series,,color_group,,Gray,"6C6E68",4273
5069,2006,461,2000,"5491-1",XXL 2000,https://cdn.rebrickable.com/media/sets/5491-1.jpg,34,,,Make & Create,,,color_group,,Yellow,F2CD37,401
12161,2005,448,5462,SWMP-1,Star Wars / M&M Mosaic - Promo Set,https://cdn.rebrickable.com/media/sets/swmp-1.jpg,158,,,Star Wars,,,color_group,,Black,"05131D",1380
205371,2003,544,5253,"2000400-1",Enterprise RTS,https://cdn.rebrickable.com/media/sets/2000400-1.jpg,507,510,,Educational and Dacta,Serious Play,,color_group,,Black,"05131D",728
44145,2002,593,3116,"10030-1",Imperial Star Destroyer,https://cdn.rebrickable.com/media/sets/10030-1.jpg,158,171,,Star Wars,Ultimate Collector Series,,color_group,,Gray,"6C6E68",2262
14521,2001,476,1868,"10018-1",Darth Maul,https://cdn.rebrickable.com/media/sets/10018-1.jpg,158,171,,Star Wars,Ultimate Collector Series,,color_group,,Black,"05131D",1236
1489,2000,416,2882,"3450-1",Statue of Liberty,https://cdn.rebrickable.com/media/sets/3450-1.jpg,276,,,Sculptures,,,color_group,,Green,"237841",2867
692,1999,378,1406,"8448-1",Super Street Sensation,https://cdn.rebrickable.com/media/sets/8448-1.jpg,1,,,Technic,,,color_group,,Black,"05131D",868
10940,1998,422,1712,"9780-1",ROBOLAB Starter Building Set,https://cdn.rebrickable.com/media/sets/9780-1.jpg,507,518,520,Educational and Dacta,Mindstorms,RCX,color_group,,Gray,"6C6E68",746
11124,1997,288,1417,"9280-1",Giant Lego Dacta Basic Set,https://cdn.rebrickable.com/media/sets/9280-1.jpg,507,534,,Educational and Dacta,Universal Building Set,,color_group,,Red,C91A09,372
5698,1996,208,2542,"9287-1",Bonus Lego Basic Town,https://cdn.rebrickable.com/media/sets/9287-1.jpg,507,534,,Educational and Dacta,Universal Building Set,,color_group,,Red,C91A09,573
11647,1995,201,1730,"9609-1",Technology Resource Set,https://cdn.rebrickable.com/media/sets/9609-1.jpg,507,,,Educational and Dacta,,,color_group,,Gray,"6C6E68",735
18221,1994,179,1346,"8880-1",Super Car,https://cdn.rebrickable.com/media/sets/8880-1.jpg,1,,,Technic,,,color_group,,Black,"05131D",706
15467,1993,146,924,"6286-1",Skull's Eye Schooner,https://cdn.rebrickable.com/media/sets/6286-1.jpg,147,148,,Pirates,Pirates I,,color_group,,Black,"05131D",451
4334,1992,149,954,"8868-1",Airtech Claw Rig,https://cdn.rebrickable.com/media/sets/8868-1.jpg,1,,,Technic,,,color_group,,Black,"05131D",417
7316,1991,175,2195,"9452-1",Giant Lego Topic Set,https://cdn.rebrickable.com/media/sets/9452-1.jpg,507,534,,Educational and Dacta,Universal Building Set,,color_group,,Red,C91A09,813
15582,1990,126,1534,"9605-1","4.5V Technic Resource Set",https://cdn.rebrickable.com/media/sets/9605-1.jpg,507,529,,Educational and Dacta,Technic,,color_group,,Black,"05131D",639
96074,1989,152,918,"6285-1",Black Seas Barracuda,https://cdn.rebrickable.com/media/sets/6285-1.jpg,147,148,,Pirates,Pirates I,,color_group,,Black,"05131D",574
5291,1988,87,898,"8865-1",Test Car,https://cdn.rebrickable.com/media/sets/8865-1.jpg,1,,,Technic,,,color_group,,Gray,"6C6E68",337
3484,1987,240,721,"557-1",Basic Building Set,https://cdn.rebrickable.com/media/sets/557-1.jpg,465,467,,Universal Building Set,Basic,,color_group,,Red,C91A09,207
15957,1986,174,668,"5580-1",Highway Rig,https://cdn.rebrickable.com/media/sets/5580-1.jpg,278,,,Model Team,,,color_group,,Gray,"6C6E68",275
12922,1985,190,1534,"1034-1",Teachers Resource Set,https://cdn.rebrickable.com/media/sets/1034-1.jpg,507,529,,Educational and Dacta,Technic,,color_group,,Black,"05131D",639
8162,1984,100,899,"1053-1",Community Buildings,https://cdn.rebrickable.com/media/sets/1053-1.jpg,507,533,,Educational and Dacta,Town,,color_group,,Black,"05131D",389
5261,1983,79,570,"7727-1",Freight Steam Train,https://cdn.rebrickable.com/media/sets/7727-1.jpg,233,234,,Train,"12V",,color_group,,Black,"05131D",257
3082,1982,91,744,"599-1",Super Basic Set,https://cdn.rebrickable.com/media/sets/599-1.jpg,465,,,Universal Building Set,,,color_group,,Red,C91A09,213
